beast,0.845825
blastn,0.497365
gunzip,0.054116
muscle,1.330236
nhmmer,0.621253
phyml,1.401768
prokka,0.112731
snippy,0.727940
velvetg,1.191412
velveth,1.062123
geometric mean,0.554311

beast,,,,,,,,,,,,,avg,stdev,min,max
File system outputs,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,,1144.0,0.0,1144.0,1144.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Submission date and time,  2015-07-24 00:42:09,  2015-07-24 01:45:12,  2015-07-24 02:48:56,  2015-07-24 03:53:04,  2015-07-24 04:59:45,  2015-07-24 06:08:21,  2015-07-24 07:26:11,  2015-07-24 08:37:37,  2015-07-24 09:53:41,  2015-07-24 11:11:44,  2015-07-24 11:55:29

phyml,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),60.16,61.57,59.64,54.12,57.29,88.83,59.48,71.42,78.25,66.77,58.17,,65.06363636363636,10.519477432579311,54.12,88.83
System time (seconds),0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.0,0.0,0.0,,0.007272727272727273,0.006466697906828633,0.0,0.02
Fraction of CPU this job got,0.96,0.92,0.95,0.95,0.93,0.94,0.87,0.91,0.92,0.94,0.88,,0.9245454545454547,0.02876234912646612,0.87,0.96
Elapsed (wall clock) time in seconds,62.43,66.34,62.39,56.58,61.59,93.93,68.15,77.74,84.98,70.95,66.02,,70.10000000000001,11.209127530722453,56.58,93.93
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),8560.0,8556.0,8560.0,8560.0,8628.0,8560.0,8560.0,8556.0,8560.0,8560.0,8556.0,,8565.09090909091,20.944949488860296,8556.0,8628.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Major (requiring I/O) page faults,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,11.0,0.0,11.0,11.0
Minor (reclaiming a frame) page faults,2403.0,2400.0,2403.0,2402.0,2401.0,2402.0,2404.0,2398.0,2402.0,2403.0,2402.0,,2401.818181818182,1.6624188291872668,2398.0,2404.0
